rate,sttl,dload,ackdat,dmean,ct_srv_src,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,attack_cat
250000.0006,254,0,0,0,6,1,1,3,1,5
33.250208,254,4850.618652,0.063379,44,1,1,1,2,1,1
90909.0902,254,0,0,0,6,3,3,3,6,3
500000.0013,254,0,0,0,7,2,6,6,6,3
22.473819362216886,254,5821.573320344811,0.06797011059445407,89,1,1,1,1,1,2
125000.0003,254,0,0,0,5,3,5,3,5,0
111111.1072,254,0,0,0,7,3,7,3,7,0
20.072557841089438,254,2896.0637636560045,0.04995004751754764,44,1,1,1,1,2,1
125000.0003,254,0,0,0,23,8,8,8,18,2
23.051628,62,7449.428223,0.037865,91,1,1,1,2,1,1
1697.530788,31,639094.625,0.000121,91,8,1,6,8,15,4
90909.0902,254,0,0,0,13,3,3,3,13,3
19.745533881024183,254,5347.48630600894,0.06845476470318176,78,1,1,1,4,1,0
125000.0003,254,0,0,0,6,1,6,1,6,1
0,0,0,0,0,1,1,1,1,1,4
20.088705,254,2216.615479,0.040288,43,4,2,2,2,2,0
21.344893127985724,62,21464.114032851758,0.0800082244024769,283,1,1,1,2,1,1
333333.3215,254,0,0,0,4,1,1,1,1,2
16.623483405417765,254,2425.072896068357,0.11445144114851667,44,4,1,1,1,3,2
22.492498,254,2687.10376,0.080913,45,2,1,1,3,1,5
69.025183,254,8246.208008,0.01438,45,1,1,1,1,1,5
111111.1072,254,0,0,0,4,1,4,1,4,0
83.542657,254,9980.5625,0.032381,45,1,1,1,1,1,5
250000.0006,254,0,0,0,6,5,6,7,6,3
58.84611912445432,254,6099.553917000055,0.07401273421417899,71,1,1,1,1,1,0
57.463336,254,6864.953125,0.026699,45,2,1,1,1,1,1
28.042109,254,0,0,0,1,1,1,1,1,5
13.814425209769492,254,2012.4706261206452,0.10543774823975341,44,8,1,4,1,4,4
90909.0902,254,0,0,0,12,6,6,6,12,2
90909.0902,254,0,0,0,8,1,2,2,7,2
200000.0051,254,0,0,0,38,17,38,35,38,3
111111.1072,254,0,0,0,20,20,20,20,20,3
250000.0006,254,0,0,0,29,1,10,10,29,2
22.717194289630626,254,3260.4560975895147,0.04969711695124816,44,5,1,1,2,5,2
10.132862,254,4020.719727,0,248,1,1,1,2,1,5
90909.0902,254,0,0,0,1,1,1,2,1,5
125000.0003,254,0,0,0,7,3,7,6,7,0
333333.3215,254,0,0,0,2,1,1,1,1,5
78874.54416253175,254,0,0,0,4,2,2,2,4,0
166666.6608,254,0,0,0,35,18,35,34,35,3
125000.0003,254,0,0,0,4,1,4,1,4,1
125000.0003,254,0,0,0,5,2,5,2,5,1
29.9831407081682,62,67749.95727017123,0.041896679860304535,604,3,2,2,2,2,1
125000.0003,254,0,0,0,4,3,4,18,4,0
1.2318924441236931,254,0,0,0,1,1,1,2,1,1
0.941424,254,0,0,0,1,1,2,3,1,5
111111.1072,254,0,0,0,43,25,43,44,43,3
0.35786170335853984,254,0,0,0,11,2,2,3,11,2
142857.1409,254,0,0,0,14,3,3,3,11,2
17.042657,254,2486.2229,0.064383,44,17,1,1,5,1,5
70.32734078527015,62,553412.2235030831,0.06420261396317291,1224,1,1,1,1,1,1
39.15164271520526,254,4590.176083119091,0.03554900890165619,44,8,1,2,2,7,2
35.80065163681412,254,4352.780815366505,0.039160045224951937,45,5,1,6,1,5,4
250000.0006,254,0,0,0,11,3,3,7,11,0
39.23483350038953,62,200745.21092705024,0.05203935412968028,922,1,1,1,1,2,1
2251.6539830242446,31,875780.9434948724,0.00013364059633430843,408,4,1,3,6,4,4
27.842410588150315,254,3502.133514863923,0.08442105841574038,44,5,1,2,2,4,2
250000.0006,254,0,0,0,7,4,4,4,7,3
125000.0003,254,0,0,0,36,18,36,18,36,3
111111.1072,254,0,0,0,6,3,6,11,6,0
16.524628985239822,254,4192.263408513677,0.09515831090048217,75,1,1,1,1,1,2
71.57001732261318,62,6919.350173868192,0.04334877068547374,61,1,1,1,2,1,1
33.60167268922342,160,44308.51887284366,0.07608740580235765,431,1,1,1,1,1,0
250000.0006,254,0,0,0,16,4,7,7,16,3
111111.1072,254,0,0,0,28,18,29,18,28,3
24.452444,254,3567.180176,0.052869,44,1,1,1,1,1,5
90909.0902,254,0,0,0,27,1,27,7,27,4
39.371043914606034,254,4854.181923854745,0.07125433967724082,44,1,1,1,2,1,1
250000.0006,254,0,0,0,2,1,1,3,7,5
392.686744,31,111472.3672,0.000126,80,2,1,1,5,1,4
250000.0006,254,0,0,0,10,3,3,7,10,0
142857.1409,254,0,0,0,10,3,3,3,10,3
90909.0902,254,0,0,0,1,1,1,2,1,5
250000.0006,254,0,0,0,12,1,1,3,6,2
125000.0003,254,0,0,0,20,19,21,20,20,3
111111.1072,254,0,0,0,4,1,4,2,4,0
92.18397959158123,31,37699.22482425324,0.0001456977181332873,116,4,1,1,3,10,4
166666.6608,254,0,0,0,16,12,16,16,16,3
57.822234,254,236694.9844,0.106059,1035,1,1,1,1,1,2
125000.0003,254,0,0,0,4,1,4,1,4,0
90909.0902,254,0,0,0,21,3,4,6,16,2
333333.3215,254,0,0,0,5,1,3,2,3,4
34.158282,254,6792.618164,0.058249,58,2,1,2,1,2,1
34.97122358347911,62,5142.009511162236,0.09340476695275357,72,1,1,1,1,1,1
194306.43592948228,254,0,0,0,5,1,5,2,5,4
4418.5166800939605,31,4536865.019512003,0.00013643100117937442,327,5,1,1,1,7,4
19.042929263783584,254,2778.027342748753,0.06376498515069251,44,4,2,3,2,3,4
333333.3215,254,0,0,0,5,3,6,21,5,0
111111.1072,254,0,0,0,28,25,28,25,28,3
27.925785,254,3336.200439,0.159053,45,6,1,3,5,3,4
125000.0003,254,0,0,0,5,2,5,11,5,0
0,0,0,0,0,1,1,1,1,1,4
125000.0003,254,0,0,0,6,2,6,2,6,2
46.336782192855495,254,8055.874192406775,0.0477708938395232,56,1,1,1,1,1,1
32.342571626508025,254,3557.5907666820494,0.04091585687937346,44,3,1,1,1,4,2
166666.6608,254,0,0,0,18,18,21,19,18,3
79.483672,254,9495.649414,0.020903,45,1,1,1,1,1,5
125000.0003,254,0,0,0,6,2,6,2,6,1
167.38797503625221,229,1346268.2445275888,0.043483093003965065,1246,2,1,1,1,2,1
100000.0025,254,0,0,0,42,24,42,42,42,3
90909.0902,254,0,0,0,1,1,1,1,1,5
62500.00016,254,0,0,0,1,1,1,1,1,5
20.472604,254,2986.591553,0.032357,44,1,1,1,1,1,5
250000.0006,254,0,0,0,7,3,3,4,7,3
27.891773,254,3332.137207,0.07509,45,2,1,1,1,1,5
76.496656,254,9138.800781,0.045658,45,1,1,1,1,1,5
65.061244,254,7772.649902,0.048535,45,1,1,1,1,1,1
26.887975107731656,254,3212.2166685458733,0.08862847695907936,45,3,1,2,1,3,4
25.565696008833882,254,5325.92053877855,0.05232961716840441,66,1,1,1,3,1,0
0,0,0,0,0,1,1,1,1,1,4
200000.0051,254,0,0,0,5,1,5,6,5,0
19.749391,254,2881.087646,0.064307,44,1,1,1,1,10,5
111111.1072,254,0,0,0,7,2,7,11,7,2
125000.0003,254,0,0,0,6,1,6,1,6,1
1.572223,254,0,0,0,1,1,1,1,1,2
100000.0025,254,0,0,0,9,4,4,4,9,3
41.284722376620046,254,4539.591954795623,0.04041574494104572,45,2,1,1,1,1,1
333333.3215,254,0,0,0,23,18,23,18,23,3
250000.0006,254,0,0,0,11,4,4,4,11,3
22.36306,254,2671.640137,0.089896,45,4,1,4,1,4,2
75.28698608638145,254,4822.444588229938,0.06251363789852153,44,3,1,1,1,3,2
11.546230137451188,62,567.4147195999814,0.42967033775660785,43,4,1,4,1,4,4
111111.1072,254,0,0,0,25,18,25,18,25,3
31.028850339698554,254,7633.867130461286,0.05984810824818948,76,3,1,2,2,3,2
111111.1072,254,0,0,0,41,16,41,17,41,3
0.5417728638672732,254,0,0,0,15,1,13,8,14,4
111111.1072,254,0,0,0,2,1,2,1,1,5
113.93618327256037,62,796039.8986540204,0.044254295367967336,1162,1,1,1,1,1,1
54.62706253128268,254,44955.718310528086,0.0536202553031265,251,1,1,1,1,1,0
250000.0006,254,0,0,0,1,1,1,1,1,5
90909.0902,254,0,0,0,16,3,7,9,16,3
250000.0006,254,0,0,0,5,3,3,3,5,3
25.190647009439374,168,7235.1554478193075,0.0689231365651542,86,1,1,1,1,1,0
10.837627,254,1581.018555,0.11301,44,6,1,3,1,3,4
333333.3215,254,0,0,0,3,2,4,19,3,0
56.40413530826172,254,8090.486937186648,0.06013850062874687,59,8,1,3,3,8,2
20.91550965431508,254,2504.0980408540518,0.029682180070140812,42,6,1,1,4,5,1
142857.1409,254,0,0,0,14,4,5,7,14,1
13.077963476308415,254,1907.8440607646771,0.08131805173836028,44,6,1,1,2,3,2
90909.0902,254,0,0,0,14,8,8,12,14,1
125000.0003,254,0,0,0,1,1,1,1,1,5
11.934860883314542,254,1741.0855633885021,0.04947323549264174,44,3,1,1,1,1,4
30.979945447387955,254,7474.321689469407,0.053505608088455656,65,4,1,2,2,3,2
3.645477548341647,62,179.14919664616582,0.3394068959698135,43,2,1,1,2,2,4
17.231611,254,2513.787842,0.050283,44,3,1,2,3,3,5
333333.3215,254,0,0,0,14,4,4,7,14,2
111111.1072,254,0,0,0,7,2,7,3,7,1
250000.0006,254,0,0,0,18,4,4,5,18,3
90909.0902,254,0,0,0,13,6,6,9,13,2
90909.0902,254,0,0,0,1,1,1,1,1,5
18.419598,254,2687.094238,0.039127,44,2,1,1,9,1,5
125000.0003,254,0,0,0,42,16,42,41,42,3
21.368725989104952,92,8611.411957902199,0.03857179427100986,136,4,1,3,3,3,4
25.393859,62,67746.75,0.04056,641,3,2,2,2,2,1
19.524221950535082,254,2345.285344353108,0.11383793849621059,44,1,1,1,1,1,1
83333.33039,254,0,0,0,4,1,1,2,4,2
11.741029,254,1712.80896,0.038658,44,1,1,1,1,1,5
6.607952,254,963.983521,0.079655,44,1,1,1,1,4,5
31250.00008,254,0,0,0,1,1,1,1,2,5
0,0,0,0,0,2,2,2,2,2,4
142857.1409,254,0,0,0,7,3,3,3,7,3
98.91931590203919,254,6520.802565145668,0.026224023660314837,44,1,1,1,1,1,0
333333.3215,254,0,0,0,1,1,1,10,2,5
100000.0025,254,0,0,0,13,4,4,7,13,2
20.602189,254,3005.49585,0.056533,44,10,2,2,2,6,2
333333.3215,254,0,0,0,4,3,4,3,4,0
200000.0051,254,0,0,0,5,2,5,2,5,0
25.872872548771557,254,3724.3885921073124,0.05757597324556416,44,1,1,1,1,1,1
14.585512401296624,183,2083.2639533985607,0.06929030739005537,44,1,1,2,2,1,1
2910.2848550415083,31,690707.6081245407,0,89,4,1,1,7,3,4
111111.1072,254,0,0,0,35,13,35,35,35,3
62.414182,254,7456.414062,0.049111,45,1,1,1,2,1,1
90909.0902,254,0,0,0,6,3,3,3,6,3
1000000.003,254,0,0,0,3,1,3,1,3,1
64.10140370088004,254,7758.839194204931,0.047670983735965386,45,1,1,1,1,1,1
333333.3215,254,0,0,0,4,1,4,2,4,0
24.422619575735403,62,1200.1972665348576,0.13158688867278878,43,5,1,5,3,5,4
111111.1072,254,0,0,0,3,1,3,2,3,1
333333.3215,254,0,0,0,4,3,4,3,4,1
35.46869218030242,254,6720.423658660401,0.04315899664804756,64,1,1,1,1,2,1
1043.1840131164995,31,379671.2858069648,0.00011011037473028291,89,11,1,4,15,12,4
111111.1072,254,0,0,0,40,22,40,40,40,3
111111.1072,254,0,0,0,2,1,2,1,2,4
16.193863034647244,62,795.8126818529023,0.11855092203133666,43,5,1,4,4,5,4
200000.0051,254,0,0,0,5,1,5,1,5,2
59.56281,62,24329.65625,0.059197,124,1,1,1,1,1,1
82.39222086921373,254,9843.123809621706,0.04417230488509641,45,1,1,1,1,1,1
24.859454,62,1221.664551,0.161237,43,5,1,5,2,5,4
333333.3215,254,0,0,0,4,1,4,2,4,0
20.559807,254,2999.312988,0.08077,44,4,1,4,1,4,2
35.635803,254,4257.290527,0.064004,45,2,1,2,2,2,4
166666.6608,254,0,0,0,32,4,32,4,32,3
500000.0013,254,0,0,0,1,1,1,1,1,5
111111.1072,254,0,0,0,6,2,6,6,6,0
19.381171,254,2827.37085,0.047312,44,1,1,1,1,1,5
125000.0003,254,0,0,0,5,2,5,10,5,5
10.857306,254,1583.889282,0.116897,44,5,1,1,3,1,5
333333.3215,254,0,0,0,4,2,4,2,4,1
90909.0902,254,0,0,0,4,4,4,4,4,3
160.86138690078312,31,149924.68108857315,0.00014065971017810064,326,1,1,2,2,1,4
3.078685,254,449.125793,0.057623,44,3,1,1,3,1,5
40.76979457170854,254,4879.952454299576,0.046240824847796264,44,1,1,1,2,1,1
125000.0003,254,0,0,0,7,1,1,1,8,2
100000.0025,254,0,0,0,11,4,4,4,11,3
4377.551327,31,9240273,0.0002,522,16,1,4,7,18,4
125000.0003,254,0,0,0,8,6,8,23,8,0
36.74635584483083,254,4389.964646209395,0.06969749264076786,45,3,1,1,1,1,1
4.377810762333523,62,215.13813928613655,0.25783928327272,43,2,1,1,2,2,4
26.063345,254,3802.182129,0.050858,44,1,1,1,1,1,5
125000.0003,254,0,0,0,3,1,3,1,3,0
100000.0025,254,0,0,0,11,4,4,8,11,1
111111.1072,254,0,0,0,7,3,7,7,7,3
1000000.003,254,0,0,0,25,25,26,25,25,3
19.800045,254,2365.445312,0.085613,45,1,1,1,1,1,5
21.769153296717434,254,3510.9798825452726,0.06850155601866026,55,4,1,1,2,2,2
0.23816719339533526,254,0,0,0,12,2,10,5,11,4
80.92892140025697,225,10606.58877361795,0.06442337890574457,49,1,1,1,1,1,1
28.814112,254,5021.172363,0.078875,56,5,2,3,4,3,2
166666.6608,254,0,0,0,7,3,7,3,7,5
250000.0006,254,0,0,0,4,1,1,1,5,2
0.5903225583397772,254,0,0,0,10,2,9,3,10,4
1.0435613316090997,254,0,0,0,1,1,1,2,1,1
111111.1072,254,0,0,0,40,16,40,40,40,3
125000.0003,254,0,0,0,17,17,17,17,17,3
111111.1072,254,0,0,0,8,4,8,13,8,5
90909.0902,254,0,0,0,23,1,23,7,23,4
333333.3215,254,0,0,0,5,2,5,12,5,0
0,0,0,0,0,1,1,1,1,1,4
111111.1072,254,0,0,0,1,1,1,1,1,5
43.93491995151126,254,11492.714842164889,0.056562795175780445,105,1,1,1,1,1,1
11.063408,254,1613.956055,0.104229,44,2,1,1,2,1,1
333333.3215,254,0,0,0,5,2,5,2,5,0
57.206,254,9875.5625,0.055531,59,1,1,1,1,1,1
18.254054,254,2662.944336,0.065499,44,1,1,1,1,1,5
250000.0006,254,0,0,0,1,1,1,1,1,5
20.609533,254,3006.567139,0.037796,44,1,1,1,1,1,5
26.793959,254,2466.715576,0,43,12,2,2,4,2,0
112.11400328876681,254,8526.889382819916,0.053530013412783746,44,1,1,1,1,1,0
83333.33039,254,0,0,0,5,1,1,2,4,2
1982.911714662911,31,633081.3622490838,0.00011152804406438572,88,6,1,4,7,13,4
15.434957,254,1843.962891,0.05589,45,7,1,1,1,8,2
250000.0006,254,0,0,0,5,2,5,4,5,0
111111.1072,254,0,0,0,51,19,51,35,51,3
125000.0003,254,0,0,0,5,2,5,3,5,1
200000.0051,254,0,0,0,7,4,4,9,7,3
15.559259,254,2269.821289,0.161793,44,5,1,1,3,1,5
28.99367954977598,254,6831.496176466718,0.05667138935289308,85,4,1,1,1,4,2
142857.1409,254,0,0,0,1,1,1,1,1,5
48.308962,62,14110.71094,0.045449,83,1,1,1,1,1,1
34.17002263743859,174,2737.9532143609827,0.07764322832504426,43,6,1,5,4,5,4
125000.0003,254,0,0,0,7,2,7,5,7,0
111111.1072,254,0,0,0,7,1,7,1,7,0
250000.0006,254,0,0,0,10,3,3,5,10,0
111111.1072,254,0,0,0,14,4,4,11,13,2
34.431463423275616,254,3526.906619622272,0.05219136020403417,45,1,1,1,7,2,1
7.509212,254,2148.349854,0.104957,83,1,1,1,1,1,2
111111.1072,254,0,0,0,5,2,5,11,5,0
27.080025,254,3950.497803,0.046859,44,1,1,1,1,2,5
22.36782503277811,254,14025.126426344532,0.1019116237070875,170,1,1,1,1,1,0
111111.1072,254,0,0,0,3,1,3,3,3,0
2857.542882795863,31,632239.0167140174,0,83,1,1,1,5,4,4
500000.0013,254,0,0,0,15,2,3,7,15,2
333333.3215,254,0,0,0,10,4,4,7,10,2
22.239346,254,4842.375977,0.059776,57,3,2,3,3,3,2
5475.806341955091,31,3587478.228968138,0.00014218181805167253,234,7,1,3,5,3,4
53.90137192760375,31,75172.99572797764,0.00015015808703687666,501,1,1,1,1,3,4
142857.1409,254,0,0,0,2,1,1,2,2,5
33.01580894204029,254,3944.288652193826,0.14359062905973188,45,6,1,1,2,5,2
90909.0902,254,0,0,0,2,1,2,2,2,2
100000.0025,254,0,0,0,36,25,36,25,36,3
83333.33039,254,0,0,0,4,1,1,1,1,1
200000.0051,254,0,0,0,6,3,6,5,6,5
100000.0025,254,0,0,0,12,3,3,3,12,3
2785.136948072399,31,661005.8178315054,0,89,1,1,1,2,1,4
333333.3215,254,0,0,0,7,2,7,3,7,0
90909.0902,254,0,0,0,11,4,7,8,11,3
16.974025,255,2259.088379,0.010604,46,1,1,1,1,1,5
18.75427568863631,254,4301.579794852445,0.13870264930553716,60,2,1,2,10,2,4
166666.6608,254,0,0,0,9,9,9,10,9,2
200000.0051,254,0,0,0,31,25,31,25,31,3
24.503237,254,2927.320068,0.078158,45,1,1,1,4,1,5
100000.0025,254,0,0,0,2,1,1,1,1,5
2741.2459746449576,31,650589.051004438,0,89,8,1,1,3,10,4
25.965577,254,3787.919434,0.054008,44,1,1,1,1,1,5
166666.6608,254,0,0,0,12,4,5,4,11,2
1000000.003,254,0,0,0,5,1,1,2,3,5
13.716813,254,2001.040894,0.087019,44,1,1,1,1,3,5
22.257743,254,0,0,0,1,1,1,1,1,0
125000.0003,254,0,0,0,4,1,4,11,4,0
33.66502482365351,254,4116.764299766123,0.06764268178155146,46,6,1,2,3,5,2
90909.0902,254,0,0,0,7,4,5,8,7,0
333333.3215,254,0,0,0,7,2,7,3,7,0
333333.3215,254,0,0,0,11,3,3,3,11,3
250000.0006,254,0,0,0,1,1,1,1,1,5
200000.0051,254,0,0,0,43,25,43,43,43,3
250000.0006,254,0,0,0,21,18,21,19,21,3
60.19240543954001,254,3912.6740774116824,0.05981716874835143,44,6,1,1,3,2,2
166666.6608,254,0,0,0,10,3,3,3,10,3
55.89390838693947,62,31953.373780992708,0.04795484212570591,182,1,1,1,1,1,0
125000.0003,254,0,0,0,5,2,5,3,5,1
25.907524,254,3779.450684,0.051254,44,1,1,1,1,1,5
200000.0051,254,0,0,0,2,1,1,2,1,3
333333.3215,254,0,0,0,10,3,3,4,10,3
50.76757493428381,236,6416.304361064296,0.03446969422705522,49,1,1,1,17,1,1
111111.1072,254,0,0,0,18,18,18,19,18,3
20.064021833728418,254,2493.0348798036425,0.0677160469303541,44,1,1,1,1,1,1
333333.3215,254,0,0,0,3,2,4,19,3,0
38.083633,254,6105.567871,0.050822,56,5,1,1,2,6,2
1.4078924060675333,254,0,0,0,2,2,2,2,2,1
250000.0006,254,0,0,0,35,22,35,35,35,3
2831.1956777873684,31,611538.2821922165,0,81,3,1,1,5,4,4
500000.0013,254,0,0,0,15,1,11,12,15,2
7.805739,62,383.596344,0.057583,43,2,1,2,1,2,4
200000.0051,254,0,0,0,1,1,1,1,1,5
111111.1072,254,0,0,0,43,18,43,43,43,3
125000.0003,254,0,0,0,12,3,5,7,10,1
48.32629723510429,254,7076.99118396098,0.03899668460090855,44,1,1,1,1,1,1
1000000.003,254,0,0,0,3,1,1,4,2,0
125000.0003,254,0,0,0,4,2,4,10,4,0
125000.0003,254,0,0,0,4,3,4,18,4,0
4.256145,254,0,0,0,2,2,2,2,2,0
333333.3215,254,0,0,0,22,20,22,20,22,3
48.677127192815746,62,196455.07821048074,0.04443987506134714,924,1,1,1,1,1,0
19.241715403337345,254,2613.59425196625,0.05053003070567927,44,6,1,2,2,3,2
125000.0003,254,0,0,0,23,9,23,23,23,3
333333.3215,254,0,0,0,5,2,5,12,5,0
500000.0013,254,0,0,0,2,2,2,2,2,0
21.319208,254,3110.096191,0.053541,44,1,1,1,2,1,5
36.67274377574466,254,4408.685043325799,0.04567063795803762,44,11,2,4,4,10,2
11.077834,254,0,0,0,1,1,1,1,1,0
100000.0025,254,0,0,0,1,1,1,2,2,5
41.24249699542431,62,23438.23798882668,0.05512821993762966,173,3,1,2,1,2,1
333333.3215,254,0,0,0,6,2,6,2,6,1
250000.0006,254,0,0,0,7,4,4,4,7,3
25.442399,254,3711.596924,0.047125,44,1,1,1,1,1,5
17.620177242321425,254,2570.472883385293,0.06434606197161057,44,3,1,3,1,3,4
82.34210540521715,62,17756.235265406347,0.045044149610650765,115,1,1,1,1,1,1
18.152561,62,4632.818359,0.115122,86,1,1,1,1,1,0
12.45321848010347,254,1816.704820946101,0.026875577924056978,44,1,1,1,1,1,1
22.069053395450535,254,4632.031823760218,0.03877822794701541,56,3,1,3,2,3,2
333333.3215,254,0,0,0,30,12,30,30,30,3
327.637037,31,1115897.25,0.000122,735,2,1,3,6,2,4
7.761856,254,1132.317749,0.108123,44,1,1,1,1,1,5
71428.57045,254,0,0,0,7,3,7,7,7,3
500000.0013,254,0,0,0,10,2,2,5,2,0
2941.176566,31,635294.125,0,81,4,1,4,8,4,4
111111.1072,254,0,0,0,35,17,35,17,35,3
0,0,0,0,0,1,1,1,1,1,4
500000.0013,254,0,0,0,7,1,2,2,7,2
15.26191182541844,254,1997.9995133949467,0.08700961054704033,46,3,1,1,1,2,2
142857.1409,254,0,0,0,10,3,7,7,10,3
1796.6673845195803,31,676418.0566450596,0.00012704092361848955,91,9,1,5,7,11,4
1785.134639,31,672076.125,0.000129,91,14,1,6,11,16,4
333333.3215,254,0,0,0,5,2,5,2,5,0
90.77293867224665,178,10273.160204039666,0.04098890292339943,54,1,1,1,1,1,1
125000.0003,254,0,0,0,5,2,5,2,5,1
30.67309,254,3664.411865,0.064709,45,7,1,1,3,3,2
142857.1409,254,0,0,0,22,6,21,6,22,3
0.970374,254,123.206184,0.029586,45,4,3,3,3,5,2
90909.0902,254,0,0,0,12,6,6,6,12,0
3077.283849,31,860701.625,0.000121,69,1,1,4,7,1,4
15.851156,254,2312.404053,0.122728,44,1,1,1,1,1,5
90909.0902,254,0,0,0,2,1,1,1,1,5
37.37636799587704,254,2825.9034264964616,0.12486230823674876,43,1,1,1,1,1,1
90909.0902,254,0,0,0,14,2,3,3,14,0
21.645308989504088,62,15884.83545855905,0.061204073664752084,208,5,1,1,2,1,1
22.07305,254,3220.068359,0.024201,44,1,1,1,1,8,5
79.36592,254,9481.582031,0.056931,45,1,1,1,1,1,5
100000.0025,254,0,0,0,26,6,26,6,26,3
142857.1409,254,0,0,0,21,14,21,14,21,3
16.787085061250924,254,2005.497109203995,0.04017444573921762,45,1,1,1,1,1,1
58.72201565198283,254,37141.48293149806,0.057054745887819384,182,7,1,1,1,6,2
18.73354751045651,254,2732.8940055361486,0.08313532075329347,44,4,1,3,2,3,4
65.318956,254,3343.759521,0.107053,43,4,1,1,3,3,2
11.664010828814114,254,1701.573296029297,0.06674553194565609,44,8,1,1,2,2,2
627.3357431403845,31,210666.2899306907,0.0001543105886653443,94,1,1,1,3,1,4
90909.0902,254,0,0,0,11,2,2,2,11,2
2808.988808,31,606741.5625,0,81,2,1,1,5,1,4
125000.0003,254,0,0,0,8,6,8,23,8,0
25.880626,254,3775.526611,0.045086,44,2,1,1,1,1,5
38.73763087921347,254,4627.855546695563,0.029412347096074144,45,1,1,1,1,1,1
200000.0051,254,0,0,0,12,3,4,4,12,0
21.338580092943573,254,2549.2490407347655,0.08241539650485885,45,6,1,5,3,5,4
1361.6654544179382,31,3881062.689640963,0.0001749352680082458,900,3,1,1,1,6,4
125000.0003,254,0,0,0,4,1,4,1,4,0
1.250537,254,65.628189,0.069241,45,5,1,1,1,4,2
7073.565137,31,3751010.5,0.000123,136,5,1,3,6,6,4
100000.0025,254,0,0,0,8,1,1,3,1,5
200000.0051,254,0,0,0,4,3,3,5,3,5
18.327528,254,2189.528809,0.037386,45,3,1,3,1,3,4
250000.0006,254,0,0,0,9,3,7,8,9,0
100000.0025,254,0,0,0,15,3,3,9,15,1
44.727667,254,12391.91797,0.023873,94,7,1,2,2,7,2
333333.3215,254,0,0,0,5,2,5,11,5,0
22.927612,254,2739.085449,0.021267,45,1,1,1,1,1,5
500000.0013,254,0,0,0,5,1,1,2,1,5
250000.0006,254,0,0,0,44,17,42,37,42,3
90909.0902,254,0,0,0,15,3,7,7,15,3
24.713971,254,3605.332275,0.058007,44,1,1,1,1,1,5
166666.6608,254,0,0,0,8,4,4,4,8,3
61.972203,254,7403.612305,0.017056,45,1,1,1,2,1,5
107.66459104852547,62,219072.60237438275,0.0029518867883713412,596,1,1,1,1,1,1
